frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
20236;1250.241070;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2196
20237;1250.241146;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2196
20238;1250.252062;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2197
20239;1250.252140;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2197
20240;1250.263196;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2198
20241;1250.263247;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2198
20242;1250.274544;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2199
20243;1250.274631;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2199
20244;1250.286615;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2200
20245;1250.286803;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2200
20246;1250.298478;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2201
20247;1250.298567;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2201
20248;1250.309690;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2202
20249;1250.309795;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2202
20250;1250.321315;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2203
20251;1250.321494;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2203
20252;1250.333358;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2204
20253;1250.333434;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2204
20254;1250.344280;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2205
20255;1250.344387;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2205
20256;1250.355179;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2206
20257;1250.355276;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2206
20258;1250.366324;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2207
20259;1250.366433;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2207
20260;1250.377982;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2208
20261;1250.378210;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2208
20262;1250.389648;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2209
20263;1250.389850;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2209
20264;1250.401651;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2210
20265;1250.402110;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2210
20266;1250.413252;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2211
20267;1250.413860;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2211
